Taxonomy	SB	HBC	PAII	RM
Circovirus	0.788302461	0.2434021943	0	2.3145901466
Circovirus environmental samples	5.2618331179	0.5028664624	0	0.8967190632
unclassified Circoviridae	17.280871366	3.2692497776	5.2758954501	13.4391813482
Begomovirus	0.4576501951	0.5028664624	0	0.1466399409
Mastrevirus	0.1132684233	0	0	0
unclassified Geminiviridae	1.0914957153	0.4769200356	0	0
Inovirus	0.466803199	0.1593851932	13.2623426912	0.0337588353
Plectrovirus	0.0663592783	0	0	0
unclassified Inoviridae	0.0732240312	0.0518928536	0	0.0084397088
Bullavirinae	0.0286031372	0	0	0.0126595632
Bdellomicrovirus	8.8246398865	1.1404072353	5.9535333979	9.4081654183
Chlamydiamicrovirus	13.7821356246	4.7827913413	0	13.1754404473
Spiromicrovirus	0	0.0988435307	0	0.0147694905
unclassified Gokushovirinae	30.6053567955	28.1296332905	22.5072604066	48.6285473151
unclassified Microviridae	8.2239740055	56.3000395374	27.0571151985	7.3182825193
Babuvirus	0	0	0	0.1149910328
Nanovirus	0	0	0	0.0084397088
Parvovirinae	0.0286031372	0	0	0
unclassified ssDNA viruses	12.9068796266	4.3417020856	25.9438528558	4.4793754615




