Taxonomy	SB	HBC	PAII	RM
Circovirus	23.3310069449	4.0155184343	5.2758954501	16.650490558
unclassified ssDNA viruses	12.9068796266	4.3417020856	25.9438528558	4.4793754615
unclassified Gokushovirinae	30.6053567955	28.1296332905	22.5072604066	48.6285473151
Inovirus	0.466803199	0.1593851932	13.2623426912	0.0337588353
unclassified Microviridae	8.2239740055	56.3000395374	27.0571151985	7.3182825193
Others (<1%)	1.8592039176	1.1305228823	0	0.305939445
Bdellomicrovirus	8.8246398865	1.1404072353	5.9535333979	9.4081654183
Chlamydiamicrovirus	13.7821356246	4.7827913413	0	13.1754404473




